id,geom,name
71697,0102000020E6100000030000000708E6E8F1572240756A78C432BA464094F4D5FAC75722408478C9A42BBA46400C31A880C5572240026C9B3D2BBA4640,
70999,0102000020E610000003000000AD6C1FF2965B2240F49E6FB0DCBB4640F8C43A55BE5B2240605B9AB6DABB4640D1460955C55B22404FF0A88CDABB4640,
71939,0102000020E6100000020000003EF262BC41772240BC1D86FB6DBD4640C6979A4EFC762240F5AA84DD66BD4640,Via Edoardo Bassini
61324,0102000020E61000000A00000085E74AA9F06822409359187D60B74640F596BC4BF3682240A6E4E6655EB7464006161B4EF4682240F4C9E59A5DB746401717FD570C69224047D96CF651B746408160E9D7316922406503441C46B74640AFD815E9346922401E9F35E444B74640B4BD2720376922404F852E9743B74640FB2136583869224097ADF54542B74640D1FEAC9E38692240A38FF98040B74640A9D326F33469224058D00F7E3DB74640,Via Broni
71446,0102000020E610000003000000462B52BC25682240872A46A7F8BD4640871AE0DD256822404521133AF9BD4640F931E6AE25682240A90E5E60FBBD4640,Piazza Duca d'Aosta
70717,0102000020E61000000900000054CE7234A26B2240A25EF0694EB946402F7315E6986B2240C6D8AE754EB94640C293CCA0906B2240DEEC6A4D4EB946403DA0C783886B22409197DAF74DB946403586EFB3806B22407398D4754DB94640EC34D252796B2240442EDDC94CB94640A8A0EC77726B22402CD8A1F54BB9464057BA71416C6B224080947DFC4AB9464054F53CC9676B2240C8467B174AB94640,Piazzale Lodi
37478,0102000020E6100000020000005C71169BFB5C2240AFAEAF1AF0BA4640A4688AA5ED5C22404B9352D0EDBA4640,
73466,0102000020E610000007000000E77118CC5F71224033D9E49590BA4640FEC57DF50271224045BA9F5390BA464064DD89A3BC70224010D5EF1D90BA4640CC7C073F717022409F61C50490BA4640B2C3F3AD6A702240FE97101890BA4640735CD779657022409285F93C90BA46406992B30B6170224045E8B17790BA4640,Piazzale Ferdinando Martini
61340,0102000020E61000000500000052C8DF07316D2240CE5A65016EB84640ECE291D3326D224033B044566DB84640F899C46A3D6D22408D8BB49E6BB84640EC3D4B46846D2240D1D4A18966B8464051B010678F6D224084DB357C66B84640,Piazza Geremia Bonomelli
70731,0102000020E610000002000000D05845C9F56822409964E42CECBE464081C17F040F6922403B3A0900E9BE4640,
61483,0102000020E610000002000000E54B039A637022403759FED714BA4640CFB1CDD776702240C77B7A1112BA4640,Via Scipione Pistrucci
41011,0102000020E610000003000000CCDBC7C0F05422400A7AB9991BBC4640530F875BF45422403896C1621EBC46407AD278D8FA54224053550D6723BC4640,Largo Monsignor Giuseppe Bicchierai
46380,0102000020E6100000030000008B0E924FD96A2240C80CAF7F32B94640EEC627092E6B22407B55C26E33B946408F931D763A6B2240E6C3FD9133B94640,Viale Isonzo
33426,0102000020E61000000B000000CD6D6704C075224002486DE2E4B846403A22DFA5D4752240EA61C32EE5B846400D9FBEAFDB75224073BB97FBE4B84640DF8B2FDAE3752240C12ACD9CE4B84640E1308793EA752240CDAA741CE4B84640AF809DF6EF752240A94A5B5CE3B846409B0E53115D762240ED287398D4B84640CD40C0B56E762240D6ECDC0FD3B8464009D8B38C797622401D9FDA2AD2B8464091007F4287762240896F7209D1B846403695A01A8A762240D70CBACED0B84640,Via Sulmona
72070,0102000020E610000004000000714111E6D15C22409128B4ACFBBC464046FEAA6DD45C2240344690EFF7BC46400CFE2378E85C2240EF1582C1DABC46401730DC14EA5C22401A1131CAD8BC4640,
58001,0102000020E610000006000000E53224DD8560224011548D5E0DBD464068ACA2E47A602240409072E60DBD46402BF5D14E7260224082DB24500EBD464043FA92324E6022408D3BEF1010BD4640476815472F60224050792A9611BD4640338C16FB26602240C14879F711BD4640,Via della Moscova
17066,0102000020E610000005000000702F1FFFBB642240378B170B43BB4640416C448BC76422400DB045C142BB464023B836F9D26422402668DD5042BB46400047F1E0DD64224032E884D041BB46407858F2C2E76422407FFB952941BB4640,Via Verziere
66644,0102000020E6100000040000006461E355318022406071DD3939BB4640E8EF4A372E802240A48CB80034BB4640733BEA9E2B8022408F90DCF52DBB4640F0EC3C3B2A802240A3F3D02D2ABB4640,Tangenziale Est
62189,0102000020E61000000600000082FD7C00F775224020915B38B5BC46400CD98A47F3752240C6FDA25FB6BC464069F4B40DED752240E9FB5F64B8BC46403DBC427AE5752240CB243493B9BC46403CEF1010DD75224077C47CD4BABC46406ECACB50CB752240D6E0229CBBBC4640,Piazzale Paolo Gorini
66267,0102000020E61000000E000000C1C41F459D7D22405AC8128C39BC4640D5AE09698D7D224063B7CF2A33BC4640EFBAC84E897D2240A5AC95BF31BC46401B8E9DA6857D2240ED5E93DA30BC46400BBF8A42817D2240B2BCAB1E30BC4640F07508D27B7D2240EE92DD712FBC46402A937593737D2240061D63DD2EBC46405E3B623E6A7D2240599187742EBC46406AEA86B7187D2240A3D92BE22ABC4640DCE4A6BC0C7D224032AEB8382ABC46409AD832CF007D2240C787348529BC4640A70DE25EF47C224092EA3BBF28BC4640E96FF893E77C224092A8BCC227BC4640D5038B68E07C22409E56766627BC4640,Via Tucidide
70987,0102000020E6100000030000002D1FEE8F9C59224058B49487E0BB4640A857CA32C4592240104A4EDCE0BB46404C14C6BBC8592240758588E5E0BB4640,
63640,0102000020E61000000B000000447DDCC8867F2240A8E5626765BA4640379BD88D887F224097A8836165BA46402AB9D4528A7F2240EAA6DE6465BA464077DA1A118C7F2240CC5F217365BA46407602F5C18D7F224013549E8A65BA46408134AD5E8F7F2240C08355AB65BA4640F1738DE0907F2240D2EE46D565BA464020C4DF40927F22401F16C50666BA4640BA26497C937F2240A8F9CF3F66BA4640199F138C947F2240D7D9907F66BA4640E92EE46C957F224084375AC466BA4640,Via Zante
76299,0102000020E610000003000000798489F5FC5B2240FB8FF1CDDBB94640ACB9ED8C005C224054D5BAC3DCB94640F3D54455025C22403B037EE8DDB94640,
74458,0102000020E610000002000000618907944D5D22408ABAC5B24FBE4640F14927124C5D22407FA2B2614DBE4640,Via Carlo Farini
82600,0102000020E61000000400000081655BBC0E5B224093F5E51604BC4640C251F2EA1C5B2240986A662D05BC4640CBF044B52D5B2240E4CD2BE807BC46407522C154335B224048BB760E0ABC4640,Via Marco Minghetti
43335,0102000020E61000000500000010F80D5D9A682240F1129CFA40BE4640B4DCE396A06822409C0E098442BE46404520A8644A692240225FF8776CBE4640F4BCC05197692240CBA722707FBE4640568B3ED5D769224081BEE3CA8FBE4640,Binario 9
70011,0102000020E6100000020000002E0A719B5F6F22408B83F00D2ABB4640E5E324DE4B6F224050F5752A2ABB4640,
33546,0102000020E61000001D000000193D128A087A22405A434E0416BD4640835726570C7A2240132D793C2DBD4640BDD930540F7A2240F0CAE48A41BD464002D6AA5D137A22406947BB1B55BD4640D2657B3E147A2240B8ABFCD75EBD4640D0FDE60F177A224000E6B56D73BD46409BD07F6A177A22408DD6AC8E77BD4640D0FDE60F177A22400257C38F7BBD4640369B7DD4157A2240D67DB6C480BD4640967BDC12147A2240BC57529385BD464098E37041117A224001964B998ABD4640948ECDE90D7A224016F4835F8FBD46401E2224C10A7A2240791D160F94BD46401ACD8069077A224053BFC1CD98BD464009C1AA7AF97922402BD43F2DABBD4640A646E867EA792240808EA042BFBD46407EFE7BF0DA79224041A3CFA2D2BD46400AFA66F6D47922406738AFFBD8BD464096F551FCCE79224053CF8250DEBD46401C34057CC8792240B5DE6FB4E3BD46409DB58075C1792240CB3CA87AE8BD4640CA38A16BBA792240FE8579EAECBD464045FDE4DEB2792240F612BE52F1BD46409D33FD6DAA79224064181CCAF5BD46405A07ACC1A0792240BB09BE69FABD4640A1061DBE96792240FB8A7FE9FEBD464053605C058C792240A54C6A6803BE4640ACFE08C3807922409DD9AED007BE4640B8F6F4C76A792240EC43280010BE4640,
76645,0102000020E610000009000000F3D54455025C22403B037EE8DDB946406AAA82AC025C2240E7BC6B75DEB94640FFDF2241025C2240868E1D54E2B94640650D28E5FF5B2240F629221EE4B94640A2CFEC5FFE5B22407FF3870BE5B94640E496A0D0FC5B2240AE015B6FE5B946408D1BC8C4F75B22400D7A257FE6B94640A8476469F15B2240B35C363AE7B94640EA190CBFE55B224036C588E9E7B94640,
71241,0102000020E61000000C000000D9C6E935876122409C7AEE4E88BD46402B06FEA6666122401F871CB688BD46408571DCCE636122405B43A9BD88BD4640CD6F3DAF1D6122406C94F59B89BD4640D8463CD9CD60224001964B998ABD4640A9BC1DE1B4602240BF30F4E38ABD4640B017AF1E9C60224042B3EBDE8ABD46400DA661F888602240002082058BBD4640598AE42B816022402ACD412B8BBD464050502F9D7B60224053A813758BBD46404D63207475602240C4A574FA8BBD464030B209D5726022400CC803368CBD4640,
37539,0102000020E61000000A000000F4C308E1D156224035FCB84780BA4640EEA1331FC656224082EFECE181BA464013286211C35622402343D83A82BA464064C91CCBBB562240058651B582BA4640A3135333B556224076F97BCE82BA464099E49189A556224070C67AB482BA4640C7AF69EF9D5622400B5D2E8782BA4640FD9EFDED5756224047F1E0DD80BA4640741C89E134562240712E0FE37FBA4640763F5D932456224001A777F17EBA4640,
44667,0102000020E61000000200000078335992F25D22406054F76D2DBD4640BCA65192BF5D22408EB8B6A62FBD4640,Via della Moscova
86638,0102000020E610000006000000AF7CF1A0347B224064833B061ABC46400F07AE974B7B2240A0596D5919BC4640E51DF175637B2240E7C3B30419BC46404AAD9C627A7B2240050B71F618BC4640BD1E4C8A8F7B2240E7C3B30419BC4640EE30DC6FA37B22404628113C19BC4640,Cavalcavia Buccari
69651,0102000020E610000004000000B4999E0B7E5A2240DB0940ED01BC4640C273A554785A22403A820AFD02BC46406DB30CCC655A224056478E7406BC46407CB4DDA9255A22408B49247612BC4640,Via Pietro Paleocapa
40686,0102000020E61000000300000005D61643DE63224048AF61E17FBC464052AFA591E063224093793FC978BC4640753DD175E16322405E2A36E675BC4640,Piazza Cavour
16628,0102000020E610000003000000B467E091C2722240472D8320F6B8464085CFD6C1C17222409B2622B2FEB8464080A20D1BC0722240BCF0DEAC1CB94640,Viale Puglie
46237,0102000020E610000013000000722E6A9CF26D2240330285D5B3BF464089CB9651D16D224094B7C8E2A3BF46402C2EE983C06D22406232B0E99CBF4640BE11DDB3AE6D224043A8F7F994BF4640A4AB74779D6D22409ADE0F898CBF46402B52BC25946D2240077360DE88BF464019969A98896D22406FA69DF584BF46402AE620E8686D2240DAC9E02879BF46400D18247D5A6D22401E13CE1374BF464014200A664C6D22404A5C6CFF6FBF4640F1E489D6406D2240C284D1AC6CBF4640AF48A709366D224089A6A26769BF4640911216702A6D224031AFC85466BF4640A8797D9C1F6D2240E51DF17563BF464013A57334FD6C22406058FE7C5BBF4640CB811E6ADB6C2240D6ADF94C51BF4640F3C583D2BC6C224087CDB68949BF46403D169117886C2240EDF1423A3CBF4640A61AACEE476C2240D2FB6B1E2CBF4640,
43460,0102000020E610000003000000E3D011AFA17222408B83F00D2ABB464001EABC7CA1722240DF87838428BB464054E81780A1722240B079B02028BB4640,Viale Campania
61338,0102000020E6100000030000002F84413E8D6C224066040AAB67B84640657506A1176D224063AAAAE16CB8464052C8DF07316D2240CE5A65016EB84640,Viale Ortles
48212,0102000020E6100000030000009EAFFE74A8632240A17B7B7CE7BC464070EF1AF4A5632240CB564DC6E7BC46405391AFA9986322406BD84A43E8BC4640,Piazza Stati Uniti d'America
62536,0102000020E6100000050000007C22F4D83B5822402BFDDF6CCEBA464022FAB5F5D35722406490604FE0BA46408BD70638CE5722403F582140E1BA46409124AD9DCD57224004CAA65CE1BA46405395B6B8C65722409EFEFD73E2BA4640,Via Ariberto
25393,0102000020E610000002000000E24C5D43BA692240E4A3C519C3BD4640C735994C7069224062BAB5F1CCBD4640,
3404,0102000020E61000000300000073A32314B6722240D975148CEFB74640CDA66D0DB6722240BDDEA238ECB7464091BCCEE1B57222408E829664D3B74640,Viale Omero
37671,0102000020E6100000090000007E737FF5B8672240CAD9E0E93ABD46407FF8F9EFC16722404CFA7B293CBD464034EC9C0BC8672240EDD79DEE3CBD464001AC448FCE672240B7D8486D3DBD4640F241CF66D56722409FF29EB93DBD46402A841FE6DC672240BD676ECF3DBD4640EB39E97DE3672240C9714CBB3DBD4640D0C59569EA6722406F12DE793DBD464024B9FC87F4672240407AD4A93CBD4640,
37869,0102000020E610000003000000FED9EACD036F2240AD86C43D96BC4640FC8C0B07426E22406BEAE1708BBC4640BA38E0A9366E2240776A89F08ABC4640,
64348,0102000020E610000004000000BDF26ACA5F7322401ED1F35D00B84640E90DF7915B732240ABF5341603B84640FE34A44055732240D9E32ABB05B84640C782C2A04C732240795FF0C407B84640,Piazzale Gabriele Rosa
61039,0102000020E610000002000000F07C5061B66222408F3FAC9223BB464015A8C5E061622240D822B3C414BB4640,Via Larga
1820,0102000020E610000006000000BB75487BCD5C22401943948A21BD46409C3CC0EECF5C224072FE261422BD4640B2309F07D25C2240A76D0DB622BD46403F219628D65C224082774DA324BD464049337106DA5C2240338C16FB26BD4640DDF58887E65C2240BE50C07630BD4640,Piazzale Biancamano
66013,0102000020E610000004000000CB3967FADB6422409D8A0A8B40BC4640D4D8B9C4EC64224004487E0E3DBC464081F7448DF8642240777F619E3ABC46402254A9D903652240C56A984638BC4640,Via Senato
47502,0102000020E6100000050000009A3FA6B569542240FB63100EACBB4640AE4676A565542240B49DA51AACBB46406585C7235D5422404F907D35ACBB4640140FDE0D585422405AC86D45ACBB464068380AB54B542240AEF4DA6CACBB4640,
69624,0102000020E610000003000000EEBDAE152355224086BAFE1312BC4640BDF3D59F0E552240A109B9F715BC4640BC6E5BA5055522402FEC7AB317BC4640,Via Lorenzo Mascheroni
62779,0102000020E61000000300000062CD12AE91722240204A0F9E64BA46402C83C53C86722240B509E69E64BA46407365506D707222404496BB8564BA4640,Via Calvairate
